Plan Number,Plan Name,Fund Name,Shares,Price,Total Value,
093238,DELOITTE 401(K) PLAN,Vanguard Target Retirement 2040 Trust,414.483,117.25000000,48598.13,
093238,DELOITTE 401(K) PLAN,Vanguard Target Retirement 2050 Trust,0.014,119.21000000,1.67,


Account Number,Trade Date,Run Date,Transaction Activity,Transaction Description,Investment Name,Share Price,Transaction Shares,Dollar Amount,
093238,02/27/2020,02/28/2020,301007,Miscellaneous Transfer In,Target Ret 2050 Tr Sel,40.19,0.022,0.88,
093238,03/06/2020,03/07/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,39.98,12.391,495.38,
093238,03/05/2020,03/07/2020,245026,Fee,Target Ret 2040 Tr Sel,40.55,0.017,0.69,
093238,03/05/2020,03/07/2020,245026,Fee,Target Ret 2040 Tr Sel,40.55,0.18,7.31,
093238,03/20/2020,03/20/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,31.74,15.607,495.38,
093238,04/03/2020,04/03/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,33.86,14.63,495.38,
093238,04/17/2020,04/17/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,37.71,18.767,707.69,
093238,05/01/2020,05/02/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,37.54,18.852,707.69,
093238,05/15/2020,05/15/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,37.76,18.742,707.69,
093238,05/29/2020,05/29/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,40.02,17.683,707.69,
093238,06/04/2020,06/05/2020,245026,Fee,Target Ret 2040 Tr Sel,41.18,0.181,7.45,
093238,06/04/2020,06/05/2020,245026,Fee,Target Ret 2040 Tr Sel,41.18,0.013,0.55,
093238,06/12/2020,06/12/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,40.48,17.482,707.69,
093238,06/26/2020,06/26/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,40.35,72.705,2933.65,
093238,06/26/2020,06/26/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,40.35,17.539,707.69,
093238,07/10/2020,07/10/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,42.15,16.79,707.69,
093238,07/24/2020,07/24/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,42.57,16.624,707.69,
093238,08/07/2020,08/07/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,43.72,16.187,707.69,
093238,08/21/2020,08/21/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,44.15,16.029,707.69,
093238,09/04/2020,09/04/2020,114001,Plan Contribution,Target Ret 2040 Tr Sel,44.32,56.92,2522.69,
093238,09/04/2020,09/09/2020,245026,Fee,Target Ret 2040 Tr Sel,44.32,0.155,6.85,
093238,09/04/2020,09/09/2020,245026,Fee,Target Ret 2040 Tr Sel,44.32,0.026,1.15,
093238,09/11/2020,09/11/2020,382021,Plan Initiated TransferOut,Target Ret 2040 Tr Sel,43.8,651.544,28537.63,
093238,09/11/2020,09/11/2020,382007,Plan Initiated TransferIn,Target Retire 2050 Tr,100.0,0.01,0.97,
093238,09/11/2020,09/11/2020,382007,Plan Initiated TransferIn,Target Retire 2040 Tr,100.0,47.852,4785.19,
093238,09/11/2020,09/11/2020,382007,Plan Initiated TransferIn,Target Retire 2040 Tr,100.0,285.376,28537.63,
093238,09/11/2020,09/11/2020,382021,Plan Initiated TransferOut,Target Ret 2050 Tr Sel,44.04,0.022,0.97,
093238,09/11/2020,09/11/2020,382021,Plan Initiated TransferOut,Target Ret 2040 Tr Sel,43.8,109.251,4785.19,
093238,09/18/2020,09/18/2020,114001,Plan Contribution,Target Retire 2040 Tr,100.32,7.054,707.69,
093238,10/02/2020,10/02/2020,114001,Plan Contribution,Target Retire 2040 Tr,100.22,7.061,707.69,
093238,10/16/2020,10/16/2020,114001,Plan Contribution,Target Retire 2040 Tr,103.08,6.865,707.69,
093238,10/30/2020,10/31/2020,114001,Plan Contribution,Target Retire 2040 Tr,98.41,7.191,707.69,
093238,11/13/2020,11/14/2020,114001,Plan Contribution,Target Retire 2040 Tr,106.66,6.635,707.69,
093238,11/27/2020,11/27/2020,114001,Plan Contribution,Target Retire 2040 Tr,109.55,6.46,707.69,
093238,12/04/2020,12/08/2020,245026,Fee,Target Retire 2040 Tr,110.91,0.063,6.98,
093238,12/04/2020,12/08/2020,245026,Fee,Target Retire 2040 Tr,110.91,0.009,1.02,
093238,12/11/2020,12/11/2020,114001,Plan Contribution,Target Retire 2040 Tr,110.56,6.401,707.69,
093238,12/23/2020,12/23/2020,114001,Plan Contribution,Target Retire 2040 Tr,111.7,6.969,778.46,
093238,01/08/2021,01/08/2021,114001,Plan Contribution,Target Retire 2040 Tr,115.54,6.738,778.46,
093238,01/22/2021,01/22/2021,114001,Plan Contribution,Target Retire 2040 Tr,116.14,6.703,778.46,
093238,02/04/2021,02/05/2021,301007,Miscellaneous Transfer In,Target Retire 2050 Tr,118.13,0.004,0.47,
093238,02/05/2021,02/05/2021,114001,Plan Contribution,Target Retire 2040 Tr,116.9,6.659,778.46,
093238,02/19/2021,02/19/2021,114001,Plan Contribution,Target Retire 2040 Tr,118.11,6.591,778.46,


